,weight,bias,learning rate,accuracy
3750,[[6.49571975 4.78173911]],[[7.44097076]],8.976365060694217,86
1280,[[5.11258195 1.33642588]],[[0.21408508]],8.974196301159314,86
4049,[[4.20630353 1.12657185]],[[1.60501551]],8.98092070373519,85
5847,[[2.85821948 0.29577262]],[[4.90285719]],8.987323447285497,85
7886,[[1.73969836 6.83090389]],[[0.65685114]],8.959672928512678,85
3082,[[3.72623059 0.7444452 ]],[[9.90593189]],8.959465492139847,85
6443,[[0.99390007 6.12907038]],[[1.38190042]],8.9716022529533,85
7468,[[2.68068226 5.5090442 ]],[[3.97126153]],8.987567060053273,85
215,[[4.13283651 1.89638395]],[[0.78816617]],8.949962126163008,85
8283,[[3.30405563 0.74251381]],[[5.29151665]],8.963832827285861,85
7559,[[1.48461622 0.55936647]],[[4.57976506]],8.983133386175918,85
9515,[[2.64854339 0.1034892 ]],[[1.21558767]],8.969291859019426,85
8686,[[5.06040891 2.32903262]],[[0.13426329]],8.956472070392838,85
355,[[8.66338388 2.68118638]],[[4.80361135]],8.99279705860635,85
9201,[[1.8642217  7.36215623]],[[7.82981081]],8.953864818932368,85
1838,[[2.45838011 7.72697373]],[[1.24587807]],8.940881944730206,85
2712,[[1.52895768 9.13470321]],[[0.11564516]],8.991522867477471,85
343,[[8.68458404 1.34840281]],[[0.48535974]],0.03332442958655091,85
2247,[[6.86119537 1.10042761]],[[7.20191201]],8.961162972868914,85
3137,[[5.40251387 3.03796939]],[[7.61148895]],8.969840454495257,85
3691,[[2.53560761 4.71347843]],[[1.09914916]],8.947666592204962,85
8560,[[3.81515969 0.00693982]],[[2.75374783]],9.003083118460374,85
8988,[[3.21590596 1.31277734]],[[4.00968149]],8.954939653493378,85
5189,[[0.86940925 5.79295649]],[[1.79082163]],8.999938935360687,85
7988,[[3.45747098 5.14597429]],[[9.14094159]],8.97180169979776,85
6838,[[4.6151191  0.01383596]],[[3.54192286]],9.001898546265956,85
6973,[[7.19804399 8.69114064]],[[8.35702509]],0.052414519713818164,85
2905,[[6.39841691 8.25707558]],[[4.97816702]],8.968637861745378,85
3298,[[1.01593895 1.81441242]],[[6.46462027]],8.946373177773836,85
7513,[[7.30170833 1.60831545]],[[6.05099813]],8.97052175156335,85
2695,[[0.15926599 1.21402109]],[[6.95911946]],8.970424995009655,85
998,[[2.98022509 0.29916713]],[[5.8104073]],9.001485976396763,85
9082,[[2.25776341 8.87324732]],[[8.01484218]],8.925935476293073,84
2776,[[9.56473856 5.85433367]],[[2.15587489]],0.045953622711621955,84
1576,[[8.53095175 2.3765674 ]],[[7.65223794]],0.07210718026803065,84
7895,[[7.10185769 6.72723212]],[[5.044989]],0.04564004257302634,84
4203,[[8.23953756 0.64152175]],[[6.27649212]],0.051524983605225616,84
4830,[[7.37536067 4.42514935]],[[6.30888337]],0.04667633662019721,84
8748,[[3.71693696 3.56143754]],[[2.74150288]],9.00847179915304,84
3455,[[1.50843697 2.34401873]],[[4.24103429]],9.020255359517868,84
3775,[[4.50689857 9.70950036]],[[4.44702737]],0.04625542010243899,84
1288,[[2.48552042 2.82895745]],[[5.7854764]],8.923393718050143,84
4816,[[5.60537927 6.75854306]],[[5.82800042]],0.04507547440522952,84
6277,[[4.46500164 7.88951206]],[[3.64951512]],0.03319660719721562,84
6438,[[6.06927128 3.44689475]],[[8.72563468]],0.05857934151935251,84
4983,[[3.50242273 9.37359445]],[[6.14255263]],0.04213207397735008,84
3946,[[0.84841289 0.06438058]],[[9.0037037]],9.0232754966469,84
1037,[[8.87060554 5.15759249]],[[2.37885506]],0.04308549516490845,84
5231,[[2.27497238 4.68036349]],[[4.19426971]],0.021260943963908874,84
3967,[[1.00352521 7.1785085 ]],[[6.96523451]],0.041251121170883254,84
190,[[1.81020652 4.04083168]],[[3.62340525]],0.02737225258223397,84
8477,[[1.49936116 6.99170295]],[[1.30850418]],9.024683285945237,84
3132,[[8.05538435 3.16166163]],[[4.03479816]],0.04951131205640058,84
7528,[[7.92934937 6.77031265]],[[5.46606699]],0.04861461095552411,84
4249,[[7.84249249 9.90254458]],[[4.28946479]],0.05273825242144925,84
5527,[[4.85238938 0.46653628]],[[7.22681295]],0.029747762507217335,84
151,[[5.49082514 2.81174666]],[[7.01644465]],8.933495248397652,84
3143,[[4.57127315 3.05584142]],[[0.6177093]],8.912123341821422,84
7795,[[2.64071449 1.62231886]],[[9.4114605]],9.008934629519352,84
3149,[[9.46113193 9.09657417]],[[2.63935336]],8.9187819377804,84
1075,[[0.83260063 5.82587171]],[[8.39265435]],0.04198206150757944,84
9096,[[3.13542455 2.1404482 ]],[[7.38989347]],0.03600870274801382,84
5920,[[4.95532423 4.24687875]],[[7.14367888]],8.925955448940698,84
739,[[0.51041394 7.64119475]],[[8.53250168]],8.931067762753806,84
8462,[[5.40370915 4.97822381]],[[1.3867866]],8.919116462119838,84
6706,[[3.27822993 9.70165197]],[[1.63641012]],0.03694046011782803,84
571,[[0.02204286 4.67806241]],[[3.3177342]],8.915255715590572,84
658,[[7.95706104 5.51627703]],[[7.03554691]],8.937001528935104,84
6376,[[3.14434547 1.91496077]],[[6.48927756]],0.03844016236362324,84
7000,[[4.71406937 0.27386752]],[[5.22320221]],8.92950917379106,84
4794,[[2.38965991 0.17298204]],[[8.10362217]],0.05048005473528794,84
7355,[[2.93481715 3.20767932]],[[0.69646331]],8.925354555579348,84
7017,[[7.49553784 2.85100193]],[[7.42727239]],8.937909675607788,84
6914,[[9.3199132  9.81313948]],[[3.81377319]],9.010645402969327,84
6018,[[2.33752416 5.24395574]],[[4.6119055]],8.919847756769979,84
6470,[[1.31791139 2.39996462]],[[5.11999512]],5.363339539003793,83
6392,[[9.43981046 3.56558466]],[[6.79777984]],7.395893629189308,83
6391,[[1.14218602 0.87789491]],[[9.86956652]],6.407752591823287,83
