,weight 1,weight 2,bias1,bias2,learning rate,accuracy
7838,[[6.5399076  6.41498357]],[[-5.61600129]],[[-2.79162806]],[[-0.85615968]],4.361764208656485,86
6393,[[-2.89135368  5.21896376]],[[-6.93691604]],[[6.94376018]],[[-1.93972052]],4.030821701874406,86
5191,[[ 7.06560057 -4.29445202]],[[-9.39248346]],[[-3.47063166]],[[-1.27925517]],1.7419442838157362,86
9147,[[-2.70098374  6.69485633]],[[-8.55618102]],[[9.53184443]],[[0.31285492]],1.1370112993386772,86
8461,[[ 6.77866178 -7.109496  ]],[[-5.21620314]],[[-6.53835576]],[[-3.29538365]],7.615842514117437,86
3732,[[-5.3833792  -0.43377198]],[[-8.97685129]],[[0.85280946]],[[-2.29074165]],3.6164763483471916,86
2749,[[5.30269527 4.76425618]],[[-3.80309526]],[[-7.16880528]],[[-1.52750059]],4.718601395583988,86
2595,[[-9.91395568  6.00549904]],[[-5.44675424]],[[2.96152074]],[[-0.64319895]],3.3344072513567613,86
5261,[[-9.21805663  1.9265189 ]],[[-7.67635147]],[[8.38282867]],[[-1.94689914]],6.656976766286624,86
7193,[[-7.4239804  -1.01904536]],[[-8.01058495]],[[8.75215077]],[[-1.94576534]],5.535999751030038,86
4817,[[8.59922128 3.37705842]],[[-9.60539216]],[[-9.12125574]],[[-0.48977123]],2.625528602131623,86
703,[[-6.52327194 -0.72013102]],[[-6.54363586]],[[1.19384454]],[[-0.22122881]],4.52092309136223,85
7360,[[7.06036876 1.76598996]],[[-9.78641017]],[[-2.76572268]],[[-2.16136653]],2.777898565933995,85
76,[[-3.52668476 -0.65639238]],[[-8.1090939]],[[7.16077322]],[[-2.89616002]],4.7578414826009086,85
9297,[[-0.30849723  1.51674985]],[[5.40311452]],[[-2.18955956]],[[-6.63094724]],2.691126514967943,85
909,[[-5.2243353   1.61749858]],[[-9.12145405]],[[-4.41045165]],[[-6.89744331]],4.443674086538771,85
2344,[[2.889292   3.47570757]],[[-7.5014149]],[[-4.82998409]],[[-7.69598148]],7.181263192901843,85
8155,[[9.45791922 9.58706324]],[[-9.34361499]],[[-8.18745202]],[[-0.80236484]],3.8900596456522285,85
1456,[[9.25739219 3.40100151]],[[-7.67174308]],[[-9.05976601]],[[-2.85937246]],5.871707459230927,85
3287,[[1.87380576 3.68888597]],[[5.81624852]],[[-8.21984627]],[[-5.2697052]],3.477239375657659,85
6478,[[-5.16422504 -4.79743989]],[[-8.72518813]],[[6.1827573]],[[-1.80901991]],3.075423768177381,85
6414,[[1.00026388 9.89682737]],[[-8.68730996]],[[-1.49806444]],[[-5.08507164]],8.419659549212913,85
8995,[[ 7.85509851 -1.75444208]],[[-7.18584921]],[[-5.23672287]],[[-2.20941098]],2.371652726237458,85
1634,[[-1.51763358 -0.17885142]],[[-5.59819241]],[[1.35308699]],[[-1.98631798]],0.44813494707440227,85
4622,[[-2.14164428  9.37912915]],[[-2.81843073]],[[-1.96712305]],[[-4.24188663]],1.6901030843273634,85
7570,[[8.48091468 2.07247116]],[[-4.07411978]],[[-8.35618258]],[[-1.48709009]],4.752896237200935,85
4206,[[-8.44653088  7.65860521]],[[-6.38874226]],[[-2.41728424]],[[-1.23594175]],0.6679097923074429,85
2933,[[0.96240905 7.6923224 ]],[[-4.9445072]],[[-8.52634585]],[[-6.10862351]],8.218982639036286,85
4939,[[-4.95844986  8.80770605]],[[-9.93720802]],[[5.4876858]],[[0.5661416]],2.281075665494737,85
1446,[[-0.84233666 -8.65332324]],[[-3.9444022]],[[3.22340435]],[[-3.43528448]],1.5066248863860154,85
1938,[[-5.06600736 -1.45174453]],[[-9.12991041]],[[3.51669696]],[[-1.88048625]],2.645524968287809,85
1717,[[-7.28817939  7.55508068]],[[-9.45212559]],[[7.38022598]],[[0.94689883]],1.6282344720026432,85
717,[[-7.43423497  8.43042223]],[[-9.19899175]],[[7.92232432]],[[0.32248501]],5.2847985829592,85
6255,[[ 2.11525633 -3.78094721]],[[-7.87063209]],[[-2.95215718]],[[-3.81282856]],3.8469523964299612,85
3127,[[-8.86221186  8.51714645]],[[-2.83315097]],[[-7.98826357]],[[-2.85680709]],0.7362640047815772,85
2195,[[1.53384426 5.90682705]],[[-9.50253162]],[[0.19767155]],[[-8.28832761]],4.556839556073613,85
6812,[[-4.21581228  1.5942827 ]],[[-9.1681639]],[[4.61254108]],[[-0.57863219]],2.3595332100871502,85
5859,[[-0.10412975 -2.23116957]],[[7.36713881]],[[1.17742449]],[[0.120692]],2.0529692433481115,85
152,[[-7.81527988  4.92117473]],[[-7.74945147]],[[1.94312019]],[[-0.24148843]],1.73105600448057,85
6986,[[-8.0281995  -3.29758116]],[[-9.37447164]],[[0.21591121]],[[0.51861769]],3.924679578464716,85
3819,[[8.7331955  4.11906755]],[[-4.10012061]],[[-7.09778159]],[[-1.03260532]],3.8931021201926663,85
5401,[[ 1.23821636 -7.00819496]],[[-2.51687527]],[[9.93912507]],[[-2.77037949]],1.1612028858445433,85
4965,[[-0.88443961  6.93070465]],[[-2.79142032]],[[-0.96354665]],[[-3.61942214]],1.2974794895793385,85
2421,[[8.30160439 5.60936747]],[[-1.80027541]],[[-9.60099518]],[[-2.39498659]],1.8803399305270763,85
5529,[[-7.77292376  6.59555405]],[[-4.84769832]],[[-0.29111607]],[[-4.39326778]],3.739878337586985,84
1,[[-2.99456443 -0.56928123]],[[-6.80355585]],[[4.31483456]],[[-1.28585315]],1.3255203770058155,84
105,[[-9.18929819 -9.40446544]],[[-8.42995606]],[[4.76722876]],[[-1.7319879]],1.7425199779625966,84
4614,[[-2.59992009 -6.68253765]],[[-0.32219217]],[[4.31024906]],[[-3.26177378]],1.7166848491993503,84
5837,[[-0.27658507  6.12880722]],[[-7.38663543]],[[-5.73128225]],[[-9.17683493]],6.443004677951388,84
9895,[[ 1.5169483  -2.34101962]],[[-8.02065498]],[[7.9671854]],[[-4.80146791]],5.351119056647079,84
4181,[[-8.04018064 -5.55367614]],[[-7.50447591]],[[4.28752841]],[[-2.16181188]],3.2879752329100462,84
5236,[[4.01463931 6.87640503]],[[-4.44599756]],[[-8.21321073]],[[-2.09720896]],6.10949504637273,84
6696,[[-8.81923727 -9.36141129]],[[-6.18313413]],[[2.32560723]],[[-1.90590704]],1.4573692334842636,84
3082,[[-2.96390212 -5.82682246]],[[2.27634008]],[[4.519721]],[[-0.10597519]],5.648027288108266,84
600,[[-3.83010105  8.57356226]],[[-8.98780171]],[[3.35251704]],[[0.21385738]],4.0111065739016265,84
3215,[[ 1.1903503  -8.73527444]],[[-3.1963702]],[[4.28924179]],[[-1.79510828]],0.23349312777580455,84
4170,[[-1.45249141  6.70900653]],[[-9.65895469]],[[-4.73468256]],[[-9.34789728]],5.527129043057578,84
6064,[[-0.43353658 -8.75737945]],[[-8.69304086]],[[5.5448559]],[[-2.81301304]],1.761184842210729,84
6074,[[-3.42838566  4.03702658]],[[-4.82259444]],[[-6.96906417]],[[-7.63165976]],3.666236906242194,84
4238,[[ 0.17318336 -1.59874483]],[[7.58203181]],[[1.1224011]],[[4.82462963]],0.53710956474746,84
926,[[-6.083916   -6.20094252]],[[-4.49774963]],[[-3.06074041]],[[-2.6938429]],0.4940302369439209,84
2039,[[ 0.04452866 -8.16766923]],[[-9.5790518]],[[1.8855826]],[[-5.49187746]],7.317231333267291,84
